name,parallelism,ops,duration
Select1,1,846847,1409
Select1,2,1468395,811.9
Select1,4,2667094,451.0
Select1,8,1477102,811.1
Select1,16,937095,1298
Select1,32,797467,1404
Select1,64,780506,1734
Select1,128,683442,1754
Select1,256,610207,1820
Select1,512,636417,1766
Select1,1024,595782,1810
DB_WritePost/mutex_false,1,37460,31213
DB_WritePost/mutex_false,2,32869,32124
DB_WritePost/mutex_false,4,34800,31090
DB_WritePost/mutex_false,8,33261,33758
DB_WritePost/mutex_false,16,28352,36730
DB_WritePost/mutex_false,32,19405,55956
DB_WritePost/mutex_false,64,7452,144861
DB_WritePost/mutex_false,128,4584,237070
DB_WritePost/mutex_false,256,1290,851805
DB_WritePost/mutex_false,512,322,3423462
DB_WritePost/mutex_false,1024,328,4319213
DB_WritePost/mutex_true,1,37773,30034
DB_WritePost/mutex_true,2,35750,32738
DB_WritePost/mutex_true,4,34028,33786
DB_WritePost/mutex_true,8,34851,33789
DB_WritePost/mutex_true,16,31780,34070
DB_WritePost/mutex_true,32,35926,34450
DB_WritePost/mutex_true,64,35364,33350
DB_WritePost/mutex_true,128,34495,33853
DB_WritePost/mutex_true,256,35296,36467
DB_WritePost/mutex_true,512,30247,39610
DB_WritePost/mutex_true,1024,34006,34197
DB_ReadPost/mutex_false/comment_rate_0,1,107738,11843
DB_ReadPost/mutex_false/comment_rate_0,2,151695,8099
DB_ReadPost/mutex_false/comment_rate_0,4,229440,5028
DB_ReadPost/mutex_false/comment_rate_0,8,170809,7289
DB_ReadPost/mutex_false/comment_rate_0,16,161362,7297
DB_ReadPost/mutex_false/comment_rate_0,32,181604,7657
DB_ReadPost/mutex_false/comment_rate_0,64,165849,8573
DB_ReadPost/mutex_false/comment_rate_0,128,139114,9455
DB_ReadPost/mutex_false/comment_rate_0,256,116955,10069
DB_ReadPost/mutex_false/comment_rate_0,512,115959,9923
DB_ReadPost/mutex_false/comment_rate_0,1024,108987,10239
DB_ReadPost/mutex_false/comment_rate_0.01,1,21145,220189
DB_ReadPost/mutex_false/comment_rate_0.01,2,7384,199510
DB_ReadPost/mutex_false/comment_rate_0.01,4,10000,132413
DB_ReadPost/mutex_false/comment_rate_0.01,8,10000,130453
DB_ReadPost/mutex_false/comment_rate_0.01,16,7747,152902
DB_ReadPost/mutex_false/comment_rate_0.01,32,7086,186430
DB_ReadPost/mutex_false/comment_rate_0.01,64,5298,195498
DB_ReadPost/mutex_false/comment_rate_0.01,128,5065,214912
DB_ReadPost/mutex_false/comment_rate_0.01,256,4930,234963
DB_ReadPost/mutex_false/comment_rate_0.01,512,4308,250929
DB_ReadPost/mutex_false/comment_rate_0.01,1024,4280,280737
DB_ReadPost/mutex_false/comment_rate_0.1,1,1033,1226844
DB_ReadPost/mutex_false/comment_rate_0.1,2,1737,748694
DB_ReadPost/mutex_false/comment_rate_0.1,4,2593,469046
DB_ReadPost/mutex_false/comment_rate_0.1,8,2752,450292
DB_ReadPost/mutex_false/comment_rate_0.1,16,2211,531216
DB_ReadPost/mutex_false/comment_rate_0.1,32,1897,575323
DB_ReadPost/mutex_false/comment_rate_0.1,64,1690,625988
DB_ReadPost/mutex_false/comment_rate_0.1,128,1627,682988
DB_ReadPost/mutex_false/comment_rate_0.1,256,1546,732875
DB_ReadPost/mutex_false/comment_rate_0.1,512,1417,783806
DB_ReadPost/mutex_false/comment_rate_0.1,1024,1290,860716
DB_ReadPost/mutex_false/comment_rate_1,1,338,3788472
DB_ReadPost/mutex_false/comment_rate_1,2,555,2355569
DB_ReadPost/mutex_false/comment_rate_1,4,855,1517695
DB_ReadPost/mutex_false/comment_rate_1,8,878,1485470
DB_ReadPost/mutex_false/comment_rate_1,16,727,1706684
DB_ReadPost/mutex_false/comment_rate_1,32,627,1962521
DB_ReadPost/mutex_false/comment_rate_1,64,540,2135492
DB_ReadPost/mutex_false/comment_rate_1,128,504,2712452
DB_ReadPost/mutex_false/comment_rate_1,256,468,3127953
DB_ReadPost/mutex_false/comment_rate_1,512,417,3243488
DB_ReadPost/mutex_false/comment_rate_1,1024,420,3035100
DB_ReadPost/mutex_true/comment_rate_0,1,104400,11179
DB_ReadPost/mutex_true/comment_rate_0,2,151627,8024
DB_ReadPost/mutex_true/comment_rate_0,4,220995,4922
DB_ReadPost/mutex_true/comment_rate_0,8,148369,7527
DB_ReadPost/mutex_true/comment_rate_0,16,143502,7258
DB_ReadPost/mutex_true/comment_rate_0,32,170532,8137
DB_ReadPost/mutex_true/comment_rate_0,64,158026,8904
DB_ReadPost/mutex_true/comment_rate_0,128,121773,9647
DB_ReadPost/mutex_true/comment_rate_0,256,119469,10019
DB_ReadPost/mutex_true/comment_rate_0,512,111870,10355
DB_ReadPost/mutex_true/comment_rate_0,1024,89302,11282
DB_ReadPost/mutex_true/comment_rate_0.01,1,18076,218931
DB_ReadPost/mutex_true/comment_rate_0.01,2,7726,193700
DB_ReadPost/mutex_true/comment_rate_0.01,4,10000,134094
DB_ReadPost/mutex_true/comment_rate_0.01,8,10000,138316
DB_ReadPost/mutex_true/comment_rate_0.01,16,8254,165835
DB_ReadPost/mutex_true/comment_rate_0.01,32,6577,196028
DB_ReadPost/mutex_true/comment_rate_0.01,64,5498,221949
DB_ReadPost/mutex_true/comment_rate_0.01,128,5294,249854
DB_ReadPost/mutex_true/comment_rate_0.01,256,4395,284835
DB_ReadPost/mutex_true/comment_rate_0.01,512,4359,309570
DB_ReadPost/mutex_true/comment_rate_0.01,1024,3904,350160
DB_ReadPost/mutex_true/comment_rate_0.1,1,1080,1185423
DB_ReadPost/mutex_true/comment_rate_0.1,2,1681,752467
DB_ReadPost/mutex_true/comment_rate_0.1,4,2434,525502
DB_ReadPost/mutex_true/comment_rate_0.1,8,2433,533381
DB_ReadPost/mutex_true/comment_rate_0.1,16,2078,626738
DB_ReadPost/mutex_true/comment_rate_0.1,32,1922,693742
DB_ReadPost/mutex_true/comment_rate_0.1,64,1778,747349
DB_ReadPost/mutex_true/comment_rate_0.1,128,1612,723652
DB_ReadPost/mutex_true/comment_rate_0.1,256,1591,749407
DB_ReadPost/mutex_true/comment_rate_0.1,512,1338,870851
DB_ReadPost/mutex_true/comment_rate_0.1,1024,1344,873739
DB_ReadPost/mutex_true/comment_rate_1,1,356,3604099
DB_ReadPost/mutex_true/comment_rate_1,2,324,3907762
DB_ReadPost/mutex_true/comment_rate_1,4,297,4260449
DB_ReadPost/mutex_true/comment_rate_1,8,278,4640962
DB_ReadPost/mutex_true/comment_rate_1,16,273,4894498
DB_ReadPost/mutex_true/comment_rate_1,32,291,5036735
DB_ReadPost/mutex_true/comment_rate_1,64,399,5256493
DB_ReadPost/mutex_true/comment_rate_1,128,709,5738751
DB_ReadPost/mutex_true/comment_rate_1,256,632,5111454
DB_ReadPost/mutex_true/comment_rate_1,512,556,2519849
DB_ReadPost/mutex_true/comment_rate_1,1024,510,2268528
