name,parallelism,operations,duration,frequency
Select1,1,846847,1409,709723.2079489
Select1,2,1468395,811.9,1231678.778174652
Select1,4,2667094,451.0,2217294.9002217297
Select1,8,1477102,811.1,1232893.6012822094
Select1,16,937095,1298,770416.0246533128
Select1,32,797467,1404,712250.7122507122
Select1,64,780506,1734,576701.2687427913
Select1,128,683442,1754,570125.4275940707
Select1,256,610207,1820,549450.5494505494
Select1,512,636417,1766,566251.415628539
Select1,1024,595782,1810,552486.1878453039
DB_WritePost/mutex_false,1,37460,31213,32037.93291256848
DB_WritePost/mutex_false,2,32869,32124,31129.37367700162
DB_WritePost/mutex_false,4,34800,31090,32164.6831778707
DB_WritePost/mutex_false,8,33261,33758,29622.607974406066
DB_WritePost/mutex_false,16,28352,36730,27225.70106180234
DB_WritePost/mutex_false,32,19405,55956,17871.1845021088
DB_WritePost/mutex_false,64,7452,144861,6903.169245000379
DB_WritePost/mutex_false,128,4584,237070,4218.1634116505675
DB_WritePost/mutex_false,256,1290,851805,1173.9776122469345
DB_WritePost/mutex_false,512,322,3423462,292.1019716298881
DB_WritePost/mutex_false,1024,328,4319213,231.52365951852804
DB_WritePost/mutex_true,1,37773,30034,33295.598321901845
DB_WritePost/mutex_true,2,35750,32738,30545.54340521718
DB_WritePost/mutex_true,4,34028,33786,29598.0583673711
DB_WritePost/mutex_true,8,34851,33789,29595.430465536123
DB_WritePost/mutex_true,16,31780,34070,29351.3354857646
DB_WritePost/mutex_true,32,35926,34450,29027.57619738752
DB_WritePost/mutex_true,64,35364,33350,29985.007496251874
DB_WritePost/mutex_true,128,34495,33853,29539.479514370956
DB_WritePost/mutex_true,256,35296,36467,27422.05281487372
DB_WritePost/mutex_true,512,30247,39610,25246.149962130774
DB_WritePost/mutex_true,1024,34006,34197,29242.331198643154
DB_ReadPost/mutex_false/comment_rate_0,1,107738,11843,84438.06467955754
DB_ReadPost/mutex_false/comment_rate_0,2,151695,8099,123472.03358439314
DB_ReadPost/mutex_false/comment_rate_0,4,229440,5028,198886.23707239458
DB_ReadPost/mutex_false/comment_rate_0,8,170809,7289,137193.03059404582
DB_ReadPost/mutex_false/comment_rate_0,16,161362,7297,137042.6202548993
DB_ReadPost/mutex_false/comment_rate_0,32,181604,7657,130599.45148230378
DB_ReadPost/mutex_false/comment_rate_0,64,165849,8573,116645.2816983553
DB_ReadPost/mutex_false/comment_rate_0,128,139114,9455,105764.14595452142
DB_ReadPost/mutex_false/comment_rate_0,256,116955,10069,99314.7283742179
