name,parallelism,operations,duration,bytes_per_op,allocs_per_op
Select1,1,790153,1495,168,12
Select1,2,1345888,926.5,168,12
Select1,4,1029002,1028,188,12
Select1,8,869827,1360,185,12
Select1,16,545296,1952,189,12
Select1,32,547129,2153,193,12
Select1,64,518738,2284,195,12
Select1,128,418438,2505,196,12
Select1,256,412849,2716,198,13
Select1,512,367188,2967,201,13
Select1,1024,323995,3346,204,13
DB_ReadPost/mutex_false,1,106851,10855,5064,70
DB_ReadPost/mutex_false,2,184839,6378,5064,70
DB_ReadPost/mutex_false,4,255727,4621,5072,70
DB_ReadPost/mutex_false,8,186601,6734,5117,71
DB_ReadPost/mutex_false,16,118801,9543,5143,72
DB_ReadPost/mutex_false,32,126266,10449,5153,73
DB_ReadPost/mutex_false,64,87142,12151,5173,73
DB_ReadPost/mutex_false,128,75932,14635,5188,74
DB_ReadPost/mutex_false,256,71932,15458,5222,74
DB_ReadPost/mutex_false,512,71619,19066,5277,75
DB_ReadPost/mutex_false,1024,64186,17347,5270,75
DB_ReadPost/mutex_true,1,103255,10907,5064,70
DB_ReadPost/mutex_true,2,185330,6205,5064,70
DB_ReadPost/mutex_true,4,260004,4542,5074,70
DB_ReadPost/mutex_true,8,176294,6872,5121,71
DB_ReadPost/mutex_true,16,110013,9815,5142,72
DB_ReadPost/mutex_true,32,108694,10602,5152,73
DB_ReadPost/mutex_true,64,83280,13206,5179,73
DB_ReadPost/mutex_true,128,87104,13786,5192,74
DB_ReadPost/mutex_true,256,78757,17134,5238,75
DB_ReadPost/mutex_true,512,71954,16031,5235,74
DB_ReadPost/mutex_true,1024,67196,16484,5259,75
DB_WritePost/mutex_false,1,36357,30772,3992,22
DB_WritePost/mutex_false,2,37180,29474,3992,22
DB_WritePost/mutex_false,4,32991,30380,3992,22
DB_WritePost/mutex_false,8,36916,28763,3992,22
DB_WritePost/mutex_false,16,36807,32934,3992,22
DB_WritePost/mutex_false,32,33592,36169,3993,22
DB_WritePost/mutex_false,64,30153,39105,3996,22
DB_WritePost/mutex_false,128,9181,139202,4017,22
DB_WritePost/mutex_false,256,1071,1013229,4410,35
DB_WritePost/mutex_false,512,1748,585838,4587,38
DB_WritePost/mutex_false,1024,1171,880128,5790,66
DB_WritePost/mutex_true,1,37920,30144,3992,22
DB_WritePost/mutex_true,2,38636,30683,3992,22
DB_WritePost/mutex_true,4,28395,40384,3992,22
DB_WritePost/mutex_true,8,28808,40272,3993,22
DB_WritePost/mutex_true,16,29643,40757,3994,22
DB_WritePost/mutex_true,32,30112,38741,3993,22
DB_WritePost/mutex_true,64,29664,38403,3993,22
DB_WritePost/mutex_true,128,30157,39709,3993,22
DB_WritePost/mutex_true,256,23594,48219,3994,22
DB_WritePost/mutex_true,512,25057,48119,3996,22
DB_WritePost/mutex_true,1024,34506,33607,3998,22
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.01,1,19478,111816,26677,1617
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.01,2,37039,103416,43744,2845
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.01,4,65499,86358,67702,4623
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.01,8,80562,84669,86565,6039
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.01,16,68466,72408,79267,5471
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.01,32,71906,72345,79347,5496
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.01,64,59551,57229,60165,4096
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.01,128,59228,63038,63485,4319
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.01,256,53848,67016,65556,4480
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.01,512,45206,52034,50496,3357
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.01,1024,35100,48329,40763,2603
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.1,1,10000,489216,113297,7985
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.1,2,10000,253993,111447,7858
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.1,4,10000,147819,113389,7994
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.1,8,17343,182012,187002,13390
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.1,16,12104,128664,135394,9635
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.1,32,10000,102599,105050,7388
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.1,64,10000,104560,108341,7618
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.1,128,10000,101213,100018,7009
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.1,256,10000,105364,102519,7188
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.1,512,10000,121744,102152,7158
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_0.1,1024,10000,117114,101494,7109
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_1,1,10000,4675206,1119965,79760
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_1,2,10000,2582670,1119739,79744
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_1,4,5805,856084,646712,46154
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_1,8,5210,580638,577437,41331
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_1,16,4800,516089,530896,37926
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_1,32,4851,498834,533080,38087
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_1,64,4603,501852,499405,35614
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_1,128,3414,402022,351933,25193
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_1,256,2062,587665,177435,12654
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_1,512,1000,1131322,47263,3037
DB_ReadPostAndMaybeWriteComment/mutex_false/comment_rate_1,1024,1813,744656,102558,7065
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.01,1,17838,104167,24994,1494
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.01,2,38834,109734,48091,3175
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.01,4,66880,103785,78966,5464
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.01,8,44755,54003,48802,3227
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.01,16,34405,49750,36652,2320
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.01,32,25586,62076,31154,1934
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.01,64,22818,64795,28769,1760
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.01,128,26546,62908,27604,1672
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.01,256,30226,48744,21346,1212
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.01,512,31393,40450,12903,615
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.01,1024,24115,51386,8247,281
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.1,1,10000,490641,110553,7783
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.1,2,10000,249135,103567,7278
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.1,4,10000,178316,112517,7920
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.1,8,10000,177056,116813,8221
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.1,16,10000,212731,108290,7569
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.1,32,10000,217131,111280,7794
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.1,64,10000,206609,102449,7150
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.1,128,10000,190087,91471,6356
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.1,256,10000,167718,66593,4520
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.1,512,10000,122500,35825,2270
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_0.1,1024,24273,218542,104321,7244
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_1,1,10000,4740601,1119965,79760
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_1,2,10000,4461101,1119738,79744
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_1,4,10000,4482083,1119284,79712
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_1,8,10000,4471042,1118377,79648
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_1,16,9495,4244922,1057632,75497
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_1,32,8308,3706785,920787,65747
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_1,64,3537,1581670,378268,27084
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_1,128,10000,4461710,1091493,77762
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_1,256,4496,1858876,446386,31788
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_1,512,6118,2408634,573481,40917
DB_ReadPostAndMaybeWriteComment/mutex_true/comment_rate_1,1024,9177,3422506,809698,57778
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.01,1,21085,117309,27685,1685
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.01,2,43975,101870,45042,2942
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.01,4,78451,111886,87857,6133
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.01,8,76304,76784,78314,5418
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.01,16,69585,86344,81991,5685
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.01,32,63589,77846,72992,5016
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.01,64,55986,67619,63156,4293
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.01,128,53895,69871,60694,4133
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.01,256,46215,59630,49458,3287
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.01,512,43458,56761,50406,3341
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.01,1024,28617,46028,34658,2168
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.1,1,10000,522792,118176,8352
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.1,2,10000,247172,102583,7218
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.1,4,10000,148170,112700,7951
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.1,8,10000,105121,105284,7408
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.1,16,10000,108965,114157,8048
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.1,32,10000,105095,107728,7585
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.1,64,10000,100849,101855,7133
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.1,128,12560,129951,124671,8851
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.1,256,15062,133866,125743,8861
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.1,512,19910,150991,143425,10208
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_0.1,1024,17707,88389,67253,4569
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_1,1,10000,4974384,1119966,79760
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_1,2,9831,2797821,1100069,78392
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_1,4,10000,1585898,1119320,79713
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_1,8,10000,1158135,1118490,79652
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_1,16,9338,1054451,1039173,74240
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_1,32,10000,1140638,1113942,79305
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_1,64,10000,1181683,1107369,78835
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_1,128,10000,1255394,1093841,77846
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_1,256,8662,1023898,916324,65390
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_1,512,10000,1116866,1017457,72413
DB_ReadPostAndMaybeWriteCommentWithPool/comment_rate_1,1024,8236,815912,736624,52294
